Data,Histórico,Valor,Tipo
15/01/2024,CREDITO SALARIO REF 01/2024,3500.0,CREDITO
16/01/2024,DEBITO AUTOMATICO - ALUGUEL,-1200.0,DEBITO
17/01/2024,COMPRA CARTAO - SUPERMERCADO PAO DE ACUCAR,-89.75,DEBITO
18/01/2024,TRANSFERENCIA ENVIADA - MARIA SANTOS,-500.0,DEBITO
19/01/2024,COMPRA CARTAO - POSTO IPIRANGA,-85.5,DEBITO
20/01/2024,DEBITO AUTOMATICO - PLANO DE SAUDE,-450.0,DEBITO
21/01/2024,COMPRA CARTAO - RESTAURANTE CHURRASCARIA,-120.0,DEBITO
22/01/2024,TRANSFERENCIA RECEBIDA - FREELANCE,800.0,CREDITO
23/01/2024,COMPRA CARTAO - FARMACIA DROGARIA,-67.3,DEBITO
24/01/2024,DEBITO AUTOMATICO - INTERNET TELEFONE,-89.9,DEBITO 
26/01/2024,APOSENTADORIA INSS,764.87,CREDITO
27/01/2024,APOSENTADORIA INSS,612.45,CREDITO
30/01/2024,RESTITUICAO IMPOSTO DE RENDA,1192.47,CREDITO
02/02/2024,CONSULTORIA FREELANCE,1486.13,CREDITO
03/02/2024,FARMACIA DROGASIL,-81.45,DEBITO
06/02/2024,CINEMA CINEMARK,-200.42,DEBITO
08/02/2024,PADARIA PÃO QUENTE,-497.4,DEBITO
09/02/2024,PAGAMENTO ALUGUEL,-411.17,DEBITO
11/02/2024,UBER VIAGEM,-81.66,DEBITO
13/02/2024,UBER VIAGEM,-48.19,DEBITO
16/02/2024,COMPRA NO SHOPPING IGUATEMI,-81.75,DEBITO
17/02/2024,UBER VIAGEM,-267.52,DEBITO
18/02/2024,PAGAMENTO DE CLIENTE,135.9,CREDITO
20/02/2024,RESTAURANTE BOM SABOR,-387.41,DEBITO
21/02/2024,SALARIO - EMPRESA XYZ,299.88,CREDITO
24/02/2024,PAGAMENTO CONTA DE LUZ - ENEL,-438.41,DEBITO
25/02/2024,PAGAMENTO CONTA DE LUZ - ENEL,-299.68,DEBITO
27/02/2024,CONSULTA MEDICA - DR. CARLOS,-102.52,DEBITO
29/02/2024,COMPRA NO SHOPPING IGUATEMI,-206.59,DEBITO
03/03/2024,LOJA DE ROUPAS RENNER,-22.72,DEBITO
04/03/2024,PAGAMENTO ALUGUEL,-373.03,DEBITO
07/03/2024,PAGAMENTO ALUGUEL,-219.15,DEBITO
10/03/2024,PADARIA PÃO QUENTE,-508.53,DEBITO
12/03/2024,PAGAMENTO ALUGUEL,-539.71,DEBITO
15/03/2024,CINEMA CINEMARK,-754.34,DEBITO
16/03/2024,RESTAURANTE BOM SABOR,-233.89,DEBITO
19/03/2024,UBER VIAGEM,-293.34,DEBITO
20/03/2024,ASSINATURA NETFLIX,-100.44,DEBITO
22/03/2024,ASSINATURA NETFLIX,-593.1,DEBITO
25/03/2024,PAGAMENTO CONTA DE AGUA - SABESP,-771.7,DEBITO
26/03/2024,COMPRA NO SHOPPING IGUATEMI,-727.41,DEBITO
29/03/2024,PADARIA PÃO QUENTE,-595.34,DEBITO
01/04/2024,RESTAURANTE BOM SABOR,-795.5,DEBITO
03/04/2024,CINEMA CINEMARK,-531.57,DEBITO
04/04/2024,COMPRA NO SHOPPING IGUATEMI,-36.05,DEBITO
06/04/2024,ACADEMIA SMART FIT,-665.78,DEBITO
09/04/2024,PAGAMENTO DE CLIENTE,1406.18,CREDITO
11/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-611.78,DEBITO
13/04/2024,IFOOD PEDIDO,-26.65,DEBITO
14/04/2024,RESTITUICAO IMPOSTO DE RENDA,417.98,CREDITO
17/04/2024,APOSENTADORIA INSS,1105.97,CREDITO
20/04/2024,PAGAMENTO CONTA DE LUZ - ENEL,-786.13,DEBITO
21/04/2024,VENDA PRODUTO ONLINE,372.12,CREDITO
22/04/2024,UBER VIAGEM,-351.8,DEBITO
25/04/2024,PAGAMENTO ALUGUEL,-633.68,DEBITO
28/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-789.99,DEBITO
01/05/2024,LOJA DE ROUPAS RENNER,-351.81,DEBITO
02/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-613.74,DEBITO
04/05/2024,CONSULTORIA FREELANCE,511.9,CREDITO
07/05/2024,IFOOD PEDIDO,-323.59,DEBITO
09/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-619.29,DEBITO
10/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-681.28,DEBITO
11/05/2024,RESTAURANTE BOM SABOR,-350.93,DEBITO
13/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-430.3,DEBITO
16/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-129.3,DEBITO
18/05/2024,CONSULTA MEDICA - DR. CARLOS,-242.23,DEBITO
21/05/2024,UBER VIAGEM,-296.33,DEBITO
22/05/2024,LOJA DE ROUPAS RENNER,-663.85,DEBITO
25/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-339.59,DEBITO
26/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-516.23,DEBITO
28/05/2024,ASSINATURA NETFLIX,-716.43,DEBITO
30/05/2024,ASSINATURA NETFLIX,-282.06,DEBITO
31/05/2024,ASSINATURA NETFLIX,-474.33,DEBITO
03/06/2024,ASSINATURA NETFLIX,-249.49,DEBITO
04/06/2024,ASSINATURA NETFLIX,-735.78,DEBITO
07/06/2024,PAGAMENTO CONTA DE AGUA - SABESP,-364.6,DEBITO
09/06/2024,LOJA DE ROUPAS RENNER,-671.51,DEBITO
11/06/2024,RECEBIMENTO DE ALUGUEL,581.8,CREDITO
14/06/2024,FARMACIA DROGASIL,-778.27,DEBITO
16/06/2024,ASSINATURA NETFLIX,-642.4,DEBITO
17/06/2024,PAGAMENTO CONTA DE LUZ - ENEL,-403.23,DEBITO
18/06/2024,POSTO IPIRANGA - COMBUSTIVEL,-363.03,DEBITO
19/06/2024,LOJA DE ROUPAS RENNER,-576.77,DEBITO
21/06/2024,IFOOD PEDIDO,-633.99,DEBITO
23/06/2024,SUPERMERCADO CARREFOUR,-194.29,DEBITO
24/06/2024,COMPRA NO SHOPPING IGUATEMI,-215.02,DEBITO
26/06/2024,LOJA DE ROUPAS RENNER,-511.57,DEBITO
28/06/2024,FARMACIA DROGASIL,-126.07,DEBITO
30/06/2024,COMPRA NO SHOPPING IGUATEMI,-463.04,DEBITO
03/07/2024,PAGAMENTO CONTA DE AGUA - SABESP,-147.08,DEBITO
