Data,Descrição,Valor
01/01/2024,SALARIO - EMPRESA LTDA,5000.0
02/01/2024,TRANSFERENCIA RECEBIDA - JOÃO SILVA,150.0
03/01/2024,SUPERMERCADO ABC - COMPRA CARTAO,125.5
04/01/2024,UBER *TRIP - TRANSPORTE,-45.0
05/01/2024,NETFLIX - ASSINATURA,-39.9
06/01/2024,IFOOD - DELIVERY,-67.8
07/01/2024,PETROBRAS - COMBUSTIVEL,-120.0
08/01/2024,FARMACIA POPULAR - MEDICAMENTOS,-89.5
09/01/2024,SHOPPING CENTER - COMPRAS,-350.0
10/01/2024,CONSULTA MEDICA - DR. SANTOS,-200.0
13/01/2024,ASSINATURA NETFLIX,-207.98
16/01/2024,FARMACIA DROGASIL,-172.56
17/01/2024,COMPRA NO SHOPPING IGUATEMI,-241.43
20/01/2024,IFOOD PEDIDO,-105.51
21/01/2024,FARMACIA DROGASIL,-118.8
23/01/2024,IFOOD PEDIDO,-146.28
24/01/2024,CINEMA CINEMARK,-392.93
27/01/2024,PAGAMENTO ALUGUEL,-418.03
29/01/2024,PAGAMENTO CONTA DE LUZ - ENEL,-233.61
30/01/2024,APOSENTADORIA INSS,123.13
02/02/2024,CONSULTA MEDICA - DR. CARLOS,-120.83
03/02/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,1426.43
04/02/2024,CINEMA CINEMARK,-28.35
07/02/2024,PAGAMENTO CONTA DE AGUA - SABESP,-158.41
08/02/2024,CINEMA CINEMARK,-481.33
09/02/2024,CINEMA CINEMARK,-224.68
10/02/2024,ACADEMIA SMART FIT,-452.79
12/02/2024,ACADEMIA SMART FIT,-219.33
15/02/2024,RESTITUICAO IMPOSTO DE RENDA,840.15
16/02/2024,ASSINATURA NETFLIX,-32.0
17/02/2024,RESTAURANTE BOM SABOR,-254.33
20/02/2024,RECEBIMENTO DE ALUGUEL,1749.74
23/02/2024,RESTITUICAO IMPOSTO DE RENDA,2410.38
24/02/2024,PAGAMENTO ALUGUEL,-472.39
27/02/2024,IFOOD PEDIDO,-88.81
28/02/2024,PAGAMENTO ALUGUEL,-679.97
01/03/2024,PADARIA PÃO QUENTE,-138.73
02/03/2024,ACADEMIA SMART FIT,-458.45
04/03/2024,PAGAMENTO CONTA DE AGUA - SABESP,-537.35
05/03/2024,CINEMA CINEMARK,-747.38
06/03/2024,RESTITUICAO IMPOSTO DE RENDA,1088.11
09/03/2024,RESTAURANTE BOM SABOR,-465.72
10/03/2024,RESTAURANTE BOM SABOR,-90.13
11/03/2024,PAGAMENTO ALUGUEL,-70.85
12/03/2024,SALARIO - EMPRESA XYZ,1522.79
14/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-254.41
16/03/2024,SALARIO - EMPRESA XYZ,2241.42
18/03/2024,CONSULTORIA FREELANCE,707.69
21/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-207.48
22/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-245.59
25/03/2024,COMPRA NO SHOPPING IGUATEMI,-516.54
27/03/2024,COMPRA NO SHOPPING IGUATEMI,-570.37
30/03/2024,COMPRA NO SHOPPING IGUATEMI,-628.84
02/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-693.21
03/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-151.65
05/04/2024,SUPERMERCADO CARREFOUR,-668.97
06/04/2024,CONSULTA MEDICA - DR. CARLOS,-533.32
07/04/2024,CONSULTA MEDICA - DR. CARLOS,-94.27
09/04/2024,ACADEMIA SMART FIT,-525.39
11/04/2024,CINEMA CINEMARK,-774.6
13/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-702.29
16/04/2024,CONSULTA MEDICA - DR. CARLOS,-641.82
17/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-364.06
18/04/2024,RECEBIMENTO DE ALUGUEL,391.98
19/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-311.64
21/04/2024,POSTO IPIRANGA - COMBUSTIVEL,-774.57
22/04/2024,CONSULTA MEDICA - DR. CARLOS,-693.03
24/04/2024,RESTAURANTE BOM SABOR,-293.31
25/04/2024,SUPERMERCADO CARREFOUR,-659.81
26/04/2024,CONSULTORIA FREELANCE,1385.24
29/04/2024,PAGAMENTO CONTA DE LUZ - ENEL,-227.23
01/05/2024,POSTO IPIRANGA - COMBUSTIVEL,-75.42
02/05/2024,SUPERMERCADO CARREFOUR,-50.82
03/05/2024,RESTAURANTE BOM SABOR,-218.81
04/05/2024,FARMACIA DROGASIL,-42.94
05/05/2024,PAGAMENTO ALUGUEL,-503.02
07/05/2024,PAGAMENTO ALUGUEL,-397.11
10/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-767.33
13/05/2024,UBER VIAGEM,-105.66
16/05/2024,CONSULTORIA FREELANCE,693.42
19/05/2024,PAGAMENTO ALUGUEL,-601.99
20/05/2024,CINEMA CINEMARK,-587.94
23/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-326.13
26/05/2024,RESTAURANTE BOM SABOR,-56.38
28/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-486.18
29/05/2024,PADARIA PÃO QUENTE,-752.59
01/06/2024,PAGAMENTO CONTA DE LUZ - ENEL,-592.94
02/06/2024,RESTITUICAO IMPOSTO DE RENDA,818.76
05/06/2024,PADARIA PÃO QUENTE,-693.01
06/06/2024,LOJA DE ROUPAS RENNER,-654.06
